abandon, to	aufgeben, verlassen
seam seam together seamed with	Naht zusammennähen (Gesicht) zerfurcht von
seared (what he said seared my mind)	versengen, verbrennen
searing the nation was about to enter what would be a searing and scarring decade	austrocknend, versengend
secret	Geheimnis
secular this was a secular, not a religious convention	weltlich
self-esteem	Achtung, Ansehen
sense	Sinn, Empfindung, Gefühl, Verstand
sentenced sentences	verurteilt Verurteilungen
serenely, serene serenity gradually serenity begins to replace the sobs until I'm able to wash my face and return to my seat.	heiter Heiterkeit, Ruhe
severely	streng, rau, scharf
shape, to	gestalten, formen, bilden sich entwickeln
shelf on the shelf = ausrangiert	Brett, Bücherbrett, Regal, Fach
shell	Außenhaut, Gerippe, Muschel, Schale Granate
shores	Küsten, Gestaden
shortage	Fehlbetrag, Knappheit, Mangel
shrouded	verschleiert
sigh, to to sigh in satisfaction	seufzen
sinister (skies)	unheilvoll
slender 	schlank, schmächtig, schwach, dürftig
slight	leicht, schmächtig, schwach
sloughing off the skin sloughing off 	abwerfen
sneered	gegrinst, spöttelte
snickering	kichern
soaring experience	erhebend, aufsteigend
sob, to	schluchzen
sober	nüchtern, sober down= nüchtern machen
sobs	Schluchzern
sod (could then be cut)	Rasenstück
solace	Trost
solemn (~ moment) the city of Calcutta was solemn in its silent grief	feierlich, ernst (~ Moment)
solicitation	dringende Bitte
somber I grew suddenly somber	trübsinnig, düster, trüb
soothing her green eyes so soothing, then ...	besänftigend, lindernd
sophisticated	anspruchsvoll, kultiviert, intellektuell, hoch entwickelt, kompliziert
sound	gesund, vernünftig, einwandfrei
sparkplugs	Zündkerze
sparrow she would never forget the sparrow that came and fluttered at the intensive care window on a day when ...	Sperling, Spatz
spellbound	fasziniert, gefesselt, gebannt
spire	Kirchturmspitze
spoil, to we became convinced that by the time she was grown, she would surely be spoiled.	verwöhnen (auch: verderben, plündern)
spoiled (to be)	verdorben sein (Charakter)
spy spy, to	Spion spionieren, erspähen
squelch, to	zermahlen, zermalmen
squirm (ed) to I squirmed a bit under the prolonged stare as he sized me up (prolonged=verlängern)	sich winden, herauswinden
stagger, to	wanken, schwanken, taumeln, ins Wanken bringen, überwältigen, sprachlos machen
stains	Flecken
stake, to be at stake	auf dem Spiel stehen
stakes long ribbons flying from stakes marked the outline of the building	Pfähle
stanza	Strophe, Stanze  
staunch	zuverlässig
steeple	(spitzer) Kirchturm
stern (a strong and stern sermon)	ernst
sticks, out in the sticks	am Arsch der Welt
sting	Stachel, Stich
strength to strengthen	Stärke, Kraft stärken, kräftigen, bestärken
stretcher	Trage, Krankentrage
strife with nationalistic strife and expected price increases tearing at the Soviet Union's already fragile political fabric, ...	Unfriede, Streit, Hader
stroke Rosie had a stroke some years back	Schlaganfall, Schlag, Hieb
strut , to the next day I strutted confidently in to my office.	stolzieren 
stunning I saw that stunning California beauty all over again	toll, phantastisch
stupor Even today I still remember nothing except dreamy stupors.	Stumpfheit, Erstarrung, Betäubung
submit, to submission	unterwerfen, sich ergeben Unterwerfung
succumb	erliegen
sufficient	genügend
suggest, to	vorschlagen, anregen
superstition	Aberglaube
suppose, to supposed are we supposed to do that? (Redewendung)	annehmen, vermuten vermutlich sollten wir das tun?
surge	Woge drängen, vorwärtsdrängen
surmise, to	vermuten
surrogate surrogate families	Ersatz, Stellvertreter
suspend, to	hängen, aufschieben, in der Schwebe lassen, Zahlung einstellen, suspendieren
suspicion suspicious	Verdacht, Ahnung, Verdächtigung verdächtig, misstrauisch, argwöhnisch
swamps	Sumpf
sway, to within minutes I swayed my buddies to see things my way	schwanken, wiegen, schwingen, beeinflussen, beherrschen
tackle, to leadership is claimed and commanded by the mind that tackles a great idea that everyone believes is impossible.	packen, anpacken (auch: Gerät, Flaschenzug, Angreifen (Fußball)
taken aback she seems to be a little taken aback	überrascht, verblüfft sein
taming (my wild thoughts)	zähmen, bändigen
tarnish, to	mattieren, trüben
taunts	Sticheleien, Spott
tax exempt	befreit
tear, tore, torn	zerren, reißen, zerreißen, rasen stürmen
tease, to	necken, hänseln
tempers flared (to flare= aufflackern)	Launen
temptation	Versuch, Reiz
tempting temptation	verlockend Verlockung, Versuchung
tense she shoots a tense glance at me 	nervös
testimony	Zeugnis
thaw the moment was made all the more special by the knowledge that the great freeze in East-West relations was thawing.	Tauwetter, Auftauen, tauen
the battle finally seemed to have waned	abnehmen (Mond), schwinden
thigh	Oberschenkel
threshold	Schwelle (Tür)
thrilled thrilled with the story that I now have to take back to college	erschauern, erregen, packen
thrive, to she had done more than survive - she had thrived!	gedeihen, blühen, Erfolg haben
thrust, to he thrusts his hand into mine	stoßen, stecken
tide tidy	Gezeiten ordentlich, sauber, reinlich
timid	furchtsam, ängstlich
tinge of disdain	ein Anflug ,Spur  von Verachtung
tithe	den Zehnten bezahlen von
to blurt it out	herausplatzen
to dedicate ( z. B. ein Buch) = to devote ( mit Gefühle)	widmen
to drag	schleppen, zerren
token as a token of = als Zeichen in token of = zum Zeichen	Zeichen, Andenken
toll	Gebühr, Zoll
tomboy	Wildfang
to observe (to be aware)	beobachten, wahrnehmen
tool	Werkzeug
topple, to I could have toppled over the railing on that balcony	kippen, umkippen
torn (to tear, tore, torn)	durchgerissen, losgerissen
torture	Folter, Qual
trenches	Schützengräben
trepidation	Zittern, Angst, Beklommenheit
trigger	Auslöseimpuls, Auslöser
trough as those young trees sat in their trough... 	Trog, Rinne, Mulde
trout	Forelle
trunk	Stamm (Baum)
tug a tug on my heart	heftiger Ruck
tuitions	Schulgelder, Unterrichtungen
turf	Rasen
tuxedo	Smoking
twinge of sadness	Stich, Schmerz
unbiased	unvoreingenommen
uncanny ability	unheimlich
undaunted	unerschrocken, furchtlos
unfold, to	entfalten, darlegen, enthüllen, sich öffnen
unpretentious	anspruchslos, bescheiden
unquenchable	unlöschbar
unravel, to	entwirren, enträtseln
unregistered religious	nicht zugelassene Religion
unrelenting	unbeugsam, unerbittlich
unscathed	unbeschädigt
upset, to	stören, verwirren, in Unordnung bringen
usher	Platzanweiser
veil, to when darkness veils His lovely face	verschleiern
venerable role	ehrwürdige Rolle
venturing	wagen
verdict	Urteilsspruch (z. B. der Geschworenen)
viable	funktionsfähig
vigil prayer vigils had remained constant at home.	Nachtwache
vigor	Kraft, Energie
vivid = vivacious	lebhaft, lebendig
void voidness	leer, nichtig Leere
volatile could that be dangerous at this volatile moment?	brisant, flüchtig, unbeständig, flatterhaft
volition	Willen, Willen- Entschlusskraft
vomit, to but if I ate it, I knew I'd vomit it all up 	sich erbrechen
vow	Gelübde, Schwur
wail, to I awaken to the sound of a distant voice wailing in a minor key.	klagen, wehklagen, schreien, wimmern, heulen (auch Wind)
wardrobe	Garderobe
warrant	Vollmacht, Rechtfertigung, Berechtigung bevollmächtigen
wedge these negative emotions began to drive a wedge between Arvela and me.	Keil
weird	unheimlich, sonderbar, seltsam
wheat	Weizen
wheelbarrows	Schubkarren
whipping Mom's dress whipping about her thighs (=Schenkel)	schlagen, prügeln
whistle	Pfiff
wig	Perücke
willows	Weiden (-baum)
woe, tale of woe	Weh, Leid
worship, to	anbeten
worthy	würdig
wrangle, to	sich streiten, sich zanken
wrath	Wut, Zorn
wrestle, to whenever I wrestle with my decision	ringen
writhe, to I screamed and writhed in pain	sich krümmen
yearn, to	sich sehnen, verlangen
yielded his will	überlassen
youth fellowship	Jugendgruppe
zealous	eifrig, pflichteifrig
